id;title;description;due_date;done;severity
1;out-of-the-box красота COM;блок;2022-08-17;false;MAJOR
2;users промышленное ИИ;Danish генерация invoice;2022-08-17;false;MAJOR
3;technologies Бетонный;invoice игры;2022-08-17;false;MAJOR
4;Районный оптимизационный;Стул музыка;2022-08-17;false;MAJOR
5;payment;archive;2022-08-17;true;CRITICAL
6;Компьютер Investment распарсить;область;2022-08-17;false;MEDIUM
7;wireless;SMS;2022-08-16;false;CRITICAL
8;deposit;Центральный;2022-08-16;true;CRITICAL
9;Multi-layered;Berkshire payment expedite;2022-08-17;false;MEDIUM
10;архитектор 24/365 Account;Account твердотельный Checking;2022-08-17;false;MINOR
